127.0.0.1 - - [22/Apr/2021:23:08:54 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:08:55 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:08:55 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:08:55 +0100] "GET /norestforthebassist/resources/images/fretboard_1000.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:08:58 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=cmajor&title=C%20Major%20Scale&id=1 HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:01 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:05 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:07 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=dmajor&title=D%20Major%20Scale&id=2 HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:07 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:07 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:13 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:15 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=fmajor&title=F%20Major%20Scale&id=4 HTTP/1.1" 200 3233
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:15 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:15 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:16 +0100] "GET /norestforthebassist/keyfinder.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:09:16 +0100] "GET /norestforthebassist/resources/js/findmykey.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:12:39 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:12:39 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:17:26 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:17:34 +0100] "GET /norestforthebassist/keyfinder.jsp HTTP/1.1" 500 2397
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:21:38 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:21:40 +0100] "GET /norestforthebassist/keyfinder.jsp HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:42:31 +0100] "GET /norestforthebassist/keyfinder.jsp HTTP/1.1" 500 2060
0:0:0:0:0:0:0:1 - - [22/Apr/2021:23:42:31 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
