127.0.0.1 - - [10/Apr/2021:23:09:49 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:46 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:10:51 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:26:07 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:10 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:10 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:10 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:10 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:10 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:10 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:13 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:13 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:13 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:13 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:13 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:13 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:14 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:32:18 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:25 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:25 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:25 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:25 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:25 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:25 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:26 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:42:30 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:22 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:22 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:22 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:22 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:22 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:22 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:23 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:24 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Apr/2021:23:43:27 +0100] "GET /favicon.ico HTTP/1.1" 404 762
