127.0.0.1 - - [02/Apr/2021:23:00:49 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:00:50 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 500 2502
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:00:50 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:01:59 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:01:59 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:01:59 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:03:38 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:03:39 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:03:39 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:05:26 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:07:47 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:07:47 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:07:47 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:10:18 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:10:18 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:10:18 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:58:17 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:58:17 +0100] "GET /norestforthebassist/resources/images/IMG_0844edit.png HTTP/1.1" 200 3707140
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:58:17 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [02/Apr/2021:23:58:17 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
