127.0.0.1 - - [08/Apr/2021:13:27:45 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:27:46 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:27:46 +0100] "GET /norestforthebassist/resources/images/fretboard_1000.png HTTP/1.1" 200 288274
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:27:46 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:27:57 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:28:20 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2640
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:28:25 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2640
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:28:26 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2640
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:28:26 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:28:26 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:28:26 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:30:50 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:30:52 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:30:52 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:13 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2640
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:14 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:14 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:22 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:24 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:45 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2640
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:45 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:31:45 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:34:11 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:34:12 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:34:14 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:34:14 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:34:14 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:35:45 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:35:47 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:35:48 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:35:48 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:13:35:48 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:07:31 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:07:33 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:07:34 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2753
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:07:34 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:07:34 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:10:02 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:10:11 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:10:12 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 500 2753
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:10:12 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [08/Apr/2021:16:10:12 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
