127.0.0.1 - - [03/May/2021:17:30:01 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:02 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:02 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:05 +0100] "GET /norestforthebassist/improvise.jsp HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:05 +0100] "GET /norestforthebassist/resources/js/improvise.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/playalong.jsp?title=C+Major+Scale&id=1&improvise_scale=cmajor&improvise_pattern=1%7C4%7C5&improvise_drum=rnb1_90bpm.mp3 HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/js/playalong.js HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/audio/drones/Cdrone30.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/audio/drones/Ddrone30.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/audio/drones/Cdrone30.mp3 HTTP/1.1" 206 959100
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /norestforthebassist/resources/audio/drones/Ddrone30.mp3 HTTP/1.1" 206 959100
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:12 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:18 +0100] "GET /norestforthebassist/resources/audio/drones/Cdrone30.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:18 +0100] "GET /norestforthebassist/resources/audio/beats/rnb1_90bpm.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:18 +0100] "GET /norestforthebassist/resources/audio/drones/Cdrone30.mp3 HTTP/1.1" 206 959100
0:0:0:0:0:0:0:1 - - [03/May/2021:17:30:18 +0100] "GET /norestforthebassist/resources/audio/beats/rnb1_90bpm.mp3 HTTP/1.1" 206 957849
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:03 +0100] "GET /norestforthebassist/improvise.jsp HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/playalong.jsp?title=C+Major+Scale&id=1&improvise_scale=gmajor&improvise_pattern=1%7C4%7C5&improvise_drum=reggae1_90bpm.mp3 HTTP/1.1" 200 4548
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/js/playalong.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/audio/drones/Cdrone30.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/audio/drones/Ddrone30.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/audio/drones/Cdrone30.mp3 HTTP/1.1" 206 959100
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:13 +0100] "GET /norestforthebassist/resources/audio/drones/Ddrone30.mp3 HTTP/1.1" 206 959100
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:14 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:18 +0100] "GET /norestforthebassist/resources/audio/drones/Gdrone30.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:18 +0100] "GET /norestforthebassist/resources/audio/beats/reggae1_90bpm.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:18 +0100] "GET /norestforthebassist/resources/audio/drones/Gdrone30.mp3 HTTP/1.1" 206 925323
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:18 +0100] "GET /norestforthebassist/resources/audio/beats/reggae1_90bpm.mp3 HTTP/1.1" 206 957849
0:0:0:0:0:0:0:1 - - [03/May/2021:17:31:54 +0100] "GET /norestforthebassist/improvise.jsp HTTP/1.1" 200 2795
