127.0.0.1 - - [12/Apr/2021:23:21:55 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:21:57 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:21:57 +0100] "GET /norestforthebassist/resources/images/fretboard_1000.png HTTP/1.1" 200 288274
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:21:57 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:21:59 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:21:59 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:01 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:01 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:01 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:01 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:01 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:01 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:03 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:22:03 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:30:07 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:30:07 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:05 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:05 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:06 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:09 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:09 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:09 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:09 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:36:10 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:39 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:39 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /norestforthebassist/drones.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:40 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:41 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:43 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:43 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [12/Apr/2021:23:55:43 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
