127.0.0.1 - - [16/Apr/2021:23:55:10 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:11 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:12 +0100] "GET /norestforthebassist/resources/images/fretboard_1000.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:12 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:12 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:12 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:13 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:16 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=cmajor&title=C%20Major%20Scale&id=1 HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:16 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:16 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:16 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:16 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:16 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:18 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:18 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:55:18 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:59:39 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:59:46 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [16/Apr/2021:23:59:47 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=cmajor&title=C%20Major%20Scale&id=1 HTTP/1.1" 500 796
