127.0.0.1 - - [18/Apr/2021:23:03:55 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:03:56 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:03:56 +0100] "GET /norestforthebassist/resources/images/fretboard_1000.png HTTP/1.1" 200 288274
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:03:56 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:03:56 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:00 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=cmajor&title=C%20Major%20Scale&id=1 HTTP/1.1" 200 3130
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:04 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:07 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:14 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=dmajor&title=D%20Major%20Scale&id=2 HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:14 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:04:14 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:18:24 +0100] "GET /norestforthebassist/anyscale.jsp?scalename=dmajor&title=D%20Major%20Scale&id=2 HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:18:24 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:18:24 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:18:27 +0100] "GET /norestforthebassist/keyfinder.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:18:27 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Apr/2021:23:23:39 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1438
